date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2015-05-13,sz.300414,17.6900,21.2300,17.6900,21.2300,14.7400,8600,181339.0000,3,0.040816,1,44.029850,18.330414,3.918586,21.086433,5.628924,0
2015-05-14,sz.300414,23.3500,23.3500,23.3500,23.3500,21.2300,1700,39695.0000,3,0.008068,1,9.985900,20.160865,4.309891,23.192097,6.191021,0
2015-05-15,sz.300414,25.6900,25.6900,25.6900,25.6900,23.3500,1516,38946.0000,3,0.007195,1,10.021400,22.181269,4.741803,25.516273,6.811448,0
2015-05-18,sz.300414,28.2600,28.2600,28.2600,28.2600,25.6900,2600,73476.0000,3,0.012340,1,10.003900,24.400259,5.216168,28.068894,7.492858,0
2015-05-19,sz.300414,31.0900,31.0900,31.0900,31.0900,28.2600,650,20208.0000,3,0.003085,1,10.014200,26.843739,5.738523,30.879756,8.243205,0
2015-05-20,sz.300414,34.2000,34.2000,34.2000,34.2000,31.0900,1300,44460.0000,3,0.006170,1,10.003200,29.528976,6.312560,33.968725,9.067790,0
2015-05-21,sz.300414,37.6200,37.6200,37.6200,37.6200,34.2000,3300,124146.0000,3,0.015662,1,10.000000,32.481874,6.943816,37.365597,9.974569,0
2015-05-22,sz.300414,41.3800,41.3800,41.3800,41.3800,37.6200,3100,128278.0000,3,0.014713,1,9.994700,35.728335,7.637828,41.100170,10.971496,0
2015-05-25,sz.300414,45.5200,45.5200,45.5200,45.5200,41.3800,6400,291328.0000,3,0.030375,1,10.004800,39.302895,8.401980,45.212174,12.069176,0
2015-05-26,sz.300414,50.0700,50.0700,50.0700,50.0700,45.5200,4216,211095.0000,3,0.020009,1,9.995600,43.231458,9.241809,49.731405,13.275563,0
2015-05-27,sz.300414,55.0800,55.0800,55.0800,55.0800,50.0700,3400,187272.0000,3,0.016137,1,10.006000,47.557194,10.166544,54.707525,14.603915,0
2015-05-28,sz.300414,60.5900,60.5900,60.5900,60.5900,55.0800,22100,1339039.0000,3,0.104888,1,10.003600,52.314640,11.183567,60.180264,16.064837,0
2015-05-29,sz.300414,66.6500,66.6500,66.6500,66.6500,60.5900,32500,2166125.0000,3,0.154248,1,10.001700,57.546967,12.302109,66.199284,17.671586,0
2015-06-01,sz.300414,73.3200,73.3200,73.3200,73.3200,66.6500,7600,557232.0000,3,0.036070,1,10.007500,63.305981,13.533242,72.824178,19.440070,0
2015-06-02,sz.300414,80.6500,80.6500,80.6500,80.6500,73.3200,11300,911345.0000,3,0.053631,1,9.997300,69.634852,14.886197,80.104609,21.383547,0
2015-06-03,sz.300414,88.7200,88.7200,88.7200,88.7200,80.6500,46583,4132843.0000,3,0.221087,1,10.006200,76.602655,16.375740,88.120037,23.523227,0
2015-06-04,sz.300414,97.5900,97.5900,97.5900,97.5900,88.7200,113125,11039868.0000,3,0.536901,1,9.997700,84.261193,18.012945,96.930054,25.875019,0
2015-06-05,sz.300414,107.3500,107.3500,107.3500,107.3500,97.5900,65260,7005661.0000,3,0.309729,1,10.001000,92.688176,19.814424,106.624052,28.462786,0
2015-06-08,sz.300414,118.0900,118.0900,112.2000,118.0900,107.3500,11464793,1331706976.0000,3,54.412876,1,10.004700,101.961311,21.796789,117.291424,31.310391,0
2015-06-09,sz.300414,111.1000,115.5800,106.2800,109.5800,118.0900,8035164,885663632.0000,3,38.135567,1,-7.206400,94.613603,20.226032,108.838972,29.054049,0
2015-06-10,sz.300414,108.3000,120.5400,106.8000,120.5400,109.5800,4891044,571296464.0000,3,23.213308,1,10.001800,104.076691,22.249005,119.724856,31.959984,0
2015-06-11,sz.300414,125.8800,132.5900,123.5800,132.5900,120.5400,3444113,448693392.0000,3,16.346051,1,9.996700,114.480906,24.473167,131.693369,35.154922,0
2015-06-12,sz.300414,145.8500,145.8500,120.0200,120.3000,132.5900,8879907,1184198480.0000,3,42.144789,1,-9.269200,103.869470,22.204706,119.486479,31.896350,0
2015-06-15,sz.300414,110.0100,114.0100,108.2700,108.2700,120.3000,4334419,472831984.0000,3,20.571519,1,-10.000000,93.482523,19.984236,107.537831,28.706715,0
2015-06-16,sz.300414,102.9900,109.6000,100.0000,100.6600,108.2700,3080845,321510416.0000,3,14.621951,1,-7.028700,86.911894,18.579599,99.979293,26.688999,0
2015-06-17,sz.300414,102.1000,108.5700,102.1000,104.7700,100.6600,2651971,277992288.0000,3,12.586478,1,4.083000,90.460551,19.338213,104.061500,27.778725,0
2015-06-18,sz.300414,103.0000,103.5000,94.2900,94.2900,104.7700,3085999,301226080.0000,3,14.646412,1,-10.002900,81.411906,17.403838,93.652370,25.000057,0
2015-06-19,sz.300414,92.0000,100.8800,90.3000,91.6000,94.2900,2924845,280921472.0000,3,13.881561,1,-2.852900,79.089305,16.907324,90.980561,24.286830,0
2015-06-23,sz.300414,96.5000,100.7600,92.3000,100.7600,91.6000,3786328,373149120.0000,3,17.970233,1,10.000000,86.998236,18.598056,100.078617,26.715513,0
2015-06-24,sz.300414,102.0000,102.8900,94.3000,97.4100,100.7600,3433860,337067408.0000,3,16.297390,1,-3.324700,84.105778,17.979721,96.751271,25.827294,0
2015-06-25,sz.300414,96.0000,96.4700,87.7700,90.1400,97.4100,2572000,239317112.0000,3,12.206929,1,-7.463300,77.828712,16.637840,89.530434,23.899726,0
2015-06-26,sz.300414,87.0100,88.8000,81.1300,81.1700,90.1400,2407488,200543280.0000,3,11.426141,1,-9.951200,70.083831,14.982178,80.621093,21.521419,0
2015-06-29,sz.300414,84.8800,84.8800,73.7000,77.8900,81.1700,2046664,162414985.0000,3,9.713640,1,-4.040900,67.251812,14.376763,77.363274,20.651760,0
2015-06-30,sz.300414,75.9000,85.6800,72.2800,83.9200,77.8900,2339434,187120138.0000,3,11.103151,1,7.741700,72.458237,15.489767,83.352496,22.250555,0
2015-07-01,sz.300414,80.6000,86.3900,77.8000,78.0600,83.9200,2220829,184689240.0000,3,10.540242,1,-6.982800,67.398594,14.408141,77.532124,20.696834,0
2015-07-02,sz.300414,78.0600,79.4000,70.2500,70.2500,78.0600,1578589,116875288.0000,3,7.492117,1,-10.005100,60.655281,12.966589,69.774939,18.626090,0
2015-07-03,sz.300414,69.0000,73.2000,63.3000,68.0000,70.2500,1810912,122963572.0000,3,8.594741,1,-3.202800,58.712585,12.551289,67.540154,18.029525,0
2015-07-06,sz.300414,74.8000,74.8000,61.2000,62.2000,68.0000,2063833,138979349.0000,3,9.795126,1,-8.529400,53.704747,11.480737,61.779376,16.491712,0
2015-07-07,sz.300414,59.9000,59.9900,55.9800,55.9800,62.2000,949386,54657518.0000,3,4.505866,1,-10.000000,48.334272,10.332664,55.601439,14.842541,0
2015-07-08,sz.300414,50.3800,51.9900,50.3800,50.4600,55.9800,1980433,100586020.0000,3,9.399302,1,-9.860700,43.568192,9.313794,50.118767,13.378968,0
2015-07-09,sz.300414,51.8800,55.5100,51.5000,55.5100,50.4600,925552,50002690.0000,3,4.392748,1,10.007900,47.928464,10.245912,55.134617,14.717925,0
2015-07-10,sz.300414,61.0600,61.0600,61.0600,61.0600,55.5100,131900,8053814.0000,3,0.626009,1,9.998200,52.720447,11.270319,60.647086,16.189453,0
2015-07-13,sz.300414,67.1700,67.1700,67.1700,67.1700,61.0600,53120,3568070.0000,3,0.252112,1,10.006500,57.995946,12.398089,66.715767,17.809458,0
2015-07-14,sz.300414,73.8900,73.8900,73.8900,73.8900,67.1700,380656,28126671.0000,3,1.806626,1,10.004500,63.798131,13.638452,73.390324,19.591200,0
2015-07-15,sz.300414,76.5000,79.9300,73.0000,73.0000,73.8900,3792792,290509664.0000,3,18.000911,1,-1.204500,63.029687,13.474177,72.506342,19.355225,0
2015-07-16,sz.300414,66.1000,77.6000,66.0100,75.9200,73.0000,2419803,177326015.0000,3,11.484589,1,4.000000,65.550874,14.013145,75.406596,20.129434,0
2015-07-17,sz.300414,76.8800,81.6200,73.4000,79.3800,75.9200,3769913,292390064.0000,3,17.892326,1,4.557400,68.538308,14.651784,78.843198,21.046819,0
2015-07-20,sz.300414,77.0100,81.1900,76.3500,77.9800,79.3800,2903866,227405540.0000,3,13.781993,1,-1.763700,67.329520,14.393375,77.452665,20.675623,0
2015-07-21,sz.300414,77.0000,84.0000,75.5000,81.1900,77.9800,2749432,219782778.0000,3,13.049037,1,4.116400,70.101099,14.985869,80.640958,21.526722,0
2015-07-22,sz.300414,80.0000,81.3000,77.7700,80.0000,81.1900,1915057,152462057.0000,3,9.089022,1,-1.465700,69.073629,14.766222,79.459005,21.211206,0
2015-07-23,sz.300414,80.0000,88.0000,79.4000,88.0000,80.0000,2142696,179942221.0000,3,10.169416,1,10.000000,75.980992,16.242844,87.404906,23.332326,0
2015-07-24,sz.300414,89.0000,93.0000,84.5000,84.9600,88.0000,3208295,285134896.0000,3,15.226839,1,-3.454500,73.356194,15.681728,84.385463,22.526300,0
2015-07-27,sz.300414,81.0000,87.1800,76.4600,76.4600,84.9600,2278575,185525950.0000,3,10.814309,1,-10.004700,66.017121,14.112817,75.942944,20.272610,0
2015-07-28,sz.300414,70.1000,77.7700,68.8100,72.5000,76.4600,1766922,127494990.0000,3,8.385961,1,-5.179200,62.597976,13.381889,72.009723,19.222655,0
2015-07-29,sz.300414,74.2600,78.8000,69.5000,77.8700,72.5000,1282321,94088310.0000,3,6.086004,1,7.406900,67.234544,14.373071,77.343409,20.646457,0
2015-07-30,sz.300414,77.0000,82.3400,75.6000,76.3700,77.8700,1678630,132073568.0000,3,7.966920,1,-1.926300,65.939413,14.096205,75.853553,20.248747,0
2015-07-31,sz.300414,74.7000,78.3600,72.0000,74.0100,76.3700,1115829,83838537.0000,3,5.295819,1,-3.090200,63.901741,13.660601,73.509512,19.623016,0
2015-08-03,sz.300414,72.8900,73.9800,66.6100,66.6100,74.0100,1367367,94669177.0000,3,6.489639,1,-9.998700,57.512430,12.294725,66.159554,17.660980,0
2015-08-04,sz.300414,67.1100,71.6500,67.1100,71.6500,66.6100,1052908,73443254.0000,3,4.997190,1,7.566400,61.864069,13.224997,71.165471,18.997286,0
2015-08-05,sz.300414,70.5200,73.9800,70.0100,71.5100,71.6500,1208649,87271032.0000,3,5.736350,1,-0.195400,61.743190,13.199157,71.026418,18.960166,0
2015-08-06,sz.300414,69.6700,72.5000,68.5000,69.6500,71.5100,761721,53535125.0000,3,3.615192,1,-2.601000,60.137228,12.855842,69.178996,18.467006,0
2015-08-07,sz.300414,70.3800,73.9700,70.3800,73.7900,69.6500,1289878,93654207.0000,3,6.121870,1,5.944000,63.711789,13.619994,73.291000,19.564686,0
2015-08-10,sz.300414,75.3000,80.9000,74.4500,79.8400,73.7900,1631248,126943106.0000,3,7.742041,1,8.198900,68.935482,14.736689,79.300087,21.168783,0
2015-08-11,sz.300414,78.8300,83.8000,78.5000,79.5000,79.8400,1702531,137731207.0000,3,8.080356,1,-0.425800,68.641919,14.673933,78.962386,21.078635,0
2015-08-12,sz.300414,78.4800,80.5000,76.3000,76.3100,79.5000,1228459,96333347.0000,3,5.830370,1,-4.012600,65.887608,14.085130,75.793958,20.232839,0
