date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2019-03-26,sz.002958,4.7500,5.7000,4.7500,5.7000,3.9600,623417,3544095.5000,3,0.112215,1,43.939390,13.090776,4.243682,-33.869035,1.543689,0
2019-03-27,sz.002958,6.2700,6.2700,6.2700,6.2700,5.7000,295773,1854496.7100,3,0.053239,1,10.000000,14.399854,4.668050,-37.255938,1.698058,0
2019-03-28,sz.002958,6.9000,6.9000,6.9000,6.9000,6.2700,794504,5482077.6000,3,0.143011,1,10.047850,15.846729,5.137089,-40.999358,1.868676,0
2019-03-29,sz.002958,7.5900,7.5900,7.5900,7.5900,6.9000,1902643,14441060.3700,3,0.342476,1,10.000000,17.431402,5.650798,-45.099293,2.055544,0
2019-04-01,sz.002958,8.3500,8.3500,8.3500,8.3500,7.5900,2794282,23332254.7000,3,0.502971,1,10.013180,19.176839,6.216622,-49.615165,2.261369,0
2019-04-02,sz.002958,9.1900,9.1900,9.1900,9.1900,8.3500,4204096,38635642.2400,3,0.756737,1,10.059870,21.106006,6.842007,-54.606391,2.488860,0
2019-04-03,sz.002958,9.9000,10.1100,9.4200,10.1100,9.1900,328423136,3211156771.0800,3,59.116164,1,10.010880,23.218903,7.526952,-60.072972,2.738017,0
2019-04-04,sz.002958,10.1700,10.9700,9.7200,10.4500,10.1100,328097920,3415107537.8100,3,59.057626,1,3.363008,23.999757,7.780084,-62.093230,2.830097,0
2019-04-08,sz.002958,10.1100,10.4300,9.8300,9.8800,10.4500,206372945,2074630027.9700,3,37.147130,1,-5.454543,22.690679,7.355716,-58.706326,2.675728,0
2019-04-09,sz.002958,9.6100,9.6200,9.3000,9.5600,9.8800,140682599,1332124414.5300,3,25.322868,1,-3.238863,21.955758,7.117474,-56.804907,2.589065,0
2019-04-10,sz.002958,9.4400,10.2700,9.4100,9.9500,9.5600,173782520,1734548125.2700,3,31.280854,1,4.079491,22.851443,7.407831,-59.122262,2.694685,0
2019-04-11,sz.002958,9.7000,9.8800,9.5000,9.7100,9.9500,108516468,1043275571.6600,3,19.532964,1,-2.412058,22.300252,7.229150,-57.696197,2.629688,0
2019-04-12,sz.002958,9.6200,9.8500,9.5300,9.7100,9.7100,73569012,710858890.8300,3,13.242422,1,0.000000,22.300252,7.229150,-57.696197,2.629688,0
2019-04-15,sz.002958,10.1500,10.2500,9.4400,9.5000,9.7100,114895945,1132007060.5900,3,20.681270,1,-2.162719,21.817961,7.072804,-56.448391,2.572815,0
2019-04-16,sz.002958,9.0000,9.6500,8.8900,9.4900,9.5000,116163087,1077230323.8500,3,20.909356,1,-0.105266,21.794994,7.065359,-56.388971,2.570107,0
2019-04-17,sz.002958,9.3000,9.4500,9.2400,9.2600,9.4900,85640699,795870804.7100,3,15.415326,1,-2.423599,21.266770,6.894122,-55.022326,2.507818,0
2019-04-18,sz.002958,9.4100,9.4400,9.1000,9.1100,9.2600,67662445,622927745.7100,3,12.179240,1,-1.619877,20.922276,6.782447,-54.131036,2.467194,0
2019-04-19,sz.002958,9.0300,9.2400,9.0300,9.1300,9.1100,50515719,459962778.5100,3,9.092829,1,0.219544,20.968209,6.797337,-54.249875,2.472611,0
2019-04-22,sz.002958,9.1800,9.2100,8.8600,9.0500,9.1300,77109359,696104894.2100,3,13.879685,1,-0.876231,20.784478,6.737776,-53.774520,2.450945,0
2019-04-23,sz.002958,8.9600,9.1300,8.9100,8.9600,9.0500,48205736,434811045.0400,3,8.677032,1,-0.994477,20.577782,6.670771,-53.239745,2.426571,0
2019-04-24,sz.002958,9.0600,9.0900,8.8300,8.8900,8.9600,43228979,385573478.8900,3,7.781216,1,-0.781247,20.417018,6.618655,-52.823810,2.407613,0
2019-04-25,sz.002958,8.8000,9.0600,8.7100,8.7100,8.8900,65223774,577687737.0400,3,11.740279,1,-2.024750,20.003625,6.484644,-51.754262,2.358865,0
2019-04-26,sz.002958,8.5100,8.6200,8.2600,8.2700,8.7100,57785235,487209327.5400,3,10.401342,1,-5.051660,18.993109,6.157062,-49.139810,2.239703,0
