date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2021-11-16,sz.301180,41.0000,41.3000,36.8800,37.3300,12.2000,27608705,1053467460.0900,3,73.492400,1,205.983600,85.929433,11.220102,-1967.074434,22.323571,0
2021-11-17,sz.301180,36.1800,38.8000,35.0800,37.6500,37.3300,21437753,795082222.5400,3,57.065800,1,0.857200,86.666037,11.316283,-1983.936578,22.514933,0
2021-11-18,sz.301180,35.9000,37.4200,35.0000,36.6300,37.6500,16272603,590468895.7200,3,43.316500,1,-2.709200,84.318112,11.009707,-1930.188495,21.904967,0
2021-11-19,sz.301180,38.0000,40.2700,36.6300,36.6300,36.6300,20037974,770918822.6200,3,53.339700,1,0.000000,84.318112,11.009707,-1930.188495,21.904967,0
2021-11-22,sz.301180,35.1100,37.6700,34.0300,36.7000,36.6300,15651567,562447832.3600,3,41.663400,1,0.191100,84.479244,11.030746,-1933.877089,21.946827,0
2021-11-23,sz.301180,36.0100,37.3000,35.3000,36.2500,36.7000,12840191,464835258.3300,3,34.179700,1,-1.226200,83.443395,10.895492,-1910.164700,21.677724,0
2021-11-24,sz.301180,36.6500,36.6500,35.3500,35.4100,36.2500,10474181,375327406.1100,3,27.881500,1,-2.317200,81.509810,10.643017,-1865.901573,21.175399,0
2021-11-25,sz.301180,35.4100,36.9000,35.0100,36.8000,35.4100,11967543,431408866.7700,3,31.856700,1,3.925400,84.709433,11.060803,-1939.146509,22.006628,0
2021-11-26,sz.301180,36.2500,36.8500,35.3200,35.5000,36.8000,9202904,330267229.1300,3,24.497500,1,-3.532600,81.716980,10.670068,-1870.644051,21.229220,0
2021-11-29,sz.301180,34.2500,35.8500,34.0600,34.8900,35.5000,6700044,233935036.1500,3,17.835000,1,-1.718300,80.312829,10.486723,-1838.500590,20.864436,0
2021-11-30,sz.301180,34.8900,35.6500,34.0700,34.4100,34.8900,7462495,260598031.3700,3,19.864600,1,-1.375800,79.207923,10.342452,-1813.207374,20.577393,0
2021-12-01,sz.301180,34.3000,35.2900,34.2200,35.2000,34.4100,6011478,209884208.1000,3,16.002100,1,2.295800,81.026414,10.579898,-1854.835791,21.049818,0
2021-12-02,sz.301180,35.6600,36.9600,34.3800,34.4900,35.2000,9115806,325722983.9700,3,24.265600,1,-2.017000,79.392074,10.366497,-1817.422910,20.625233,0
2021-12-03,sz.301180,33.9500,33.9500,32.5300,32.5700,34.4900,8601386,284088221.4000,3,22.896300,1,-5.566800,74.972452,9.789412,-1716.250049,19.477062,0
2021-12-06,sz.301180,32.3000,32.5000,31.4400,31.7000,32.5700,5081562,162088996.2100,3,13.526800,1,-2.671200,72.969810,9.527920,-1670.406096,18.956796,0
2021-12-07,sz.301180,31.9100,32.0100,30.4500,31.0900,31.7000,5050068,157022733.8100,3,13.442900,1,-1.924300,71.565659,9.344575,-1638.262635,18.592012,0
2021-12-08,sz.301180,31.0000,31.4100,30.9300,31.3500,31.0900,3573256,111437151.8700,3,9.511800,1,0.836300,72.164150,9.422722,-1651.963127,18.747494,0
2021-12-09,sz.301180,31.3000,31.5700,31.1400,31.2600,31.3500,3490092,109437898.8800,3,9.290400,1,-0.287100,71.956980,9.395671,-1647.220649,18.693673,0
2021-12-10,sz.301180,31.3000,31.8700,30.8100,31.8000,31.2600,3858628,121578891.1900,3,10.271400,1,1.727400,73.199999,9.557976,-1675.675516,19.016597,0
2021-12-13,sz.301180,31.9900,32.2500,31.5000,31.7800,31.8000,3408407,108386096.7500,3,9.072900,1,-0.062900,73.153961,9.551965,-1674.621632,19.004637,0
2021-12-14,sz.301180,31.4500,32.1600,31.0000,32.0800,31.7800,4198125,132845393.6900,3,11.175100,1,0.944000,73.844527,9.642135,-1690.429891,19.184039,0
2021-12-15,sz.301180,31.9800,33.4800,31.8500,33.4500,32.0800,7653871,251651323.6100,3,20.374100,1,4.270600,76.998112,10.053909,-1762.620944,20.003307,0
2021-12-16,sz.301180,33.2000,33.2600,32.2100,32.9500,33.4500,5536123,181542835.7100,3,14.736800,1,-1.494800,75.847169,9.903627,-1736.273844,19.704304,0
2021-12-17,sz.301180,32.9900,32.9900,31.2200,31.2900,32.9500,5061280,161636502.7000,3,13.472800,1,-5.037900,72.026037,9.404688,-1648.801475,18.711614,0
2021-12-20,sz.301180,30.5900,31.4200,30.5600,30.5600,31.2900,3026466,93413409.9500,3,8.056200,1,-2.333000,70.345659,9.185275,-1610.334710,18.275069,0
2021-12-21,sz.301180,30.5000,31.3500,30.4600,30.9300,30.5600,2366935,73211894.8500,3,6.300600,1,1.210700,71.197358,9.296485,-1629.831563,18.496331,0
2021-12-22,sz.301180,30.8800,32.1200,30.8800,31.8300,30.9300,4086888,129424267.4400,3,10.879000,1,2.909800,73.269056,9.566993,-1677.256342,19.034537,0
2021-12-23,sz.301180,31.7500,31.8600,30.7800,30.7800,31.8300,3365332,104457491.7100,3,8.958300,1,-3.298800,70.852075,9.251400,-1621.927433,18.406631,0
2021-12-24,sz.301180,30.9700,31.1700,29.0100,29.0200,30.7800,4125811,123053071.7700,3,10.982600,1,-5.718000,66.800754,8.722405,-1529.185644,17.354140,0
2021-12-27,sz.301180,29.0200,29.4800,28.4000,29.2700,29.0200,1923826,55731778.7300,3,5.121100,1,0.861500,67.376226,8.797546,-1542.359193,17.503641,0
